date,weather_code,max_temperature,min_temperature,max_apparent_temperature,min_apparent_temperature,rain_sum,snowfall_sum
2026-01-30,3,-6.6,-8.8,-12.0,-15.5,0.0,0.0
2026-01-31,3,-5.4,-9.7,-11.0,-15.3,0.0,0.0
2026-02-01,71,-4.6,-11.0,-11.0,-17.3,0.0,1.54
2026-02-02,77,-3.3,-13.8,-8.2,-17.7,0.0,0.98
2026-02-03,77,-2.4,-8.7,-7.4,-13.1,0.0,6.72
2026-02-04,3,-9.7,-26.0,-15.4,-30.5,0.0,0.0
2026-02-05,2,-16.6,-27.7,-21.3,-32.2,0.0,0.0
2026-02-06,3,-10.5,-21.6,-14.5,-26.4,0.0,0.0
2026-02-07,3,-11.9,-21.1,-17.9,-26.1,0.0,0.0
2026-02-08,71,-7.3,-12.7,-11.7,-18.6,0.0,1.61
2026-02-09,71,-7.5,-13.2,-11.9,-19.6,0.0,4.27
2026-02-10,71,-11.8,-17.0,-18.1,-23.7,0.0,0.35
2026-02-11,3,-11.2,-18.7,-15.9,-24.7,0.0,0.0
2026-02-12,3,-15.1,-20.4,-21.6,-26.4,0.0,0.0
2026-02-13,3,-9.7,-16.8,-16.1,-23.0,0.0,0.0
2026-02-14,3,-7.5,-9.8,-13.4,-15.8,0.0,0.0
2026-02-15,85,0.6,-7.5,-3.5,-13.2,0.0,0.56
2026-02-16,73,0.1,-0.8,-3.8,-8.9,1.4,1.4
2026-02-17,3,0.9,-14.2,-4.7,-18.3,0.0,0.0
2026-02-18,3,-7.0,-16.6,-12.2,-21.1,0.0,0.0
2026-02-19,71,-4.3,-15.6,-10.5,-19.9,0.0,0.07
2026-02-20,73,-1.8,-8.6,-6.9,-15.6,0.0,4.27
2026-02-21,85,-6.3,-12.7,-11.2,-17.4,0.0,0.63
2026-02-22,2,-9.7,-22.0,-14.8,-26.9,0.0,0.0
2026-02-23,3,-11.4,-21.4,-17.2,-26.3,0.0,0.0
2026-02-24,3,-10.7,-18.1,-16.9,-23.3,0.0,0.0
2026-02-25,3,-8.3,-16.8,-13.6,-22.1,0.0,0.0
2026-02-26,3,-5.2,-15.8,-11.2,-20.5,0.0,0.0
2026-02-27,3,-6.5,-13.4,-12.0,-18.4,0.0,0.0
2026-02-28,3,-5.4,-14.2,-11.3,-19.1,0.0,0.0
2026-03-01,77,-2.4,-6.6,-5.9,-13.4,0.0,3.08
2026-03-02,3,0.5,-2.4,-3.3,-6.4,0.0,0.0
2026-03-03,77,0.3,-0.9,-3.2,-6.8,0.0,1.4
2026-03-04,77,0.6,-6.5,-3.5,-10.6,0.0,1.19
2026-03-05,77,-0.7,-8.5,-4.2,-12.6,0.0,2.87
2026-03-06,85,0.4,-3.4,-3.1,-6.4,0.0,0.84
2026-03-07,77,-3.3,-9.9,-6.6,-15.7,0.0,0.49
2026-03-08,77,-3.5,-20.5,-9.6,-26.5,0.0,0.49
2026-03-09,2,-18.9,-24.4,-25.7,-30.3,0.0,0.0
2026-03-10,71,-12.1,-25.9,-18.7,-30.5,0.0,0.28
2026-03-11,48,-1.9,-11.0,-6.3,-17.4,0.0,0.0
2026-03-12,48,2.3,-4.3,-2.0,-8.5,0.0,0.0
2026-03-13,48,3.9,-7.1,-0.3,-11.1,0.0,0.0
2026-03-14,45,4.0,-5.9,0.8,-9.2,0.0,0.0
2026-03-15,45,5.8,-8.6,2.6,-12.3,0.0,0.0
2026-03-16,45,4.2,-8.2,0.4,-11.5,0.0,0.0
2026-03-17,3,5.4,-2.0,1.9,-5.0,0.0,0.0
2026-03-18,3,7.1,-4.6,3.6,-7.6,0.0,0.0
2026-03-19,2,6.8,-6.5,3.0,-9.6,0.0,0.0
2026-03-20,3,3.5,-5.0,-0.3,-8.9,0.0,0.0
2026-03-21,3,3.1,-3.7,-1.0,-6.9,0.0,0.0
2026-03-22,3,5.3,-4.4,1.3,-7.7,0.0,0.0
2026-03-23,2,7.0,-6.0,3.4,-9.2,0.0,0.0
2026-03-24,61,9.2,-3.3,5.6,-6.4,0.8,0.0
2026-03-25,61,9.0,1.0,7.5,-1.5,1.8,0.0
2026-03-26,61,12.3,-0.3,10.3,-2.9,0.1,0.0
2026-03-27,3,14.4,4.6,11.1,1.4,0.0,0.0
2026-03-28,3,18.0,4.9,15.3,2.4,0.0,0.0
2026-03-29,3,21.0,4.3,17.7,1.7,0.0,0.0
2026-03-30,1,20.7,6.4,17.5,3.9,0.0,0.0
2026-03-31,3,19.4,7.2,17.4,4.0,0.0,0.0
2026-04-01,80,21.0,7.4,18.3,5.5,2.3,0.0
